,dyad,ec,ec_avg
0,D001,0.0,0.0
1,D001,0.0,0.0
2,D001,0.0,0.033
3,D001,1.0,0.257
4,D001,1.0,0.351
5,D001,0.0,0.0
6,D001,0.0,0.0
7,D001,0.0,0.085
8,D001,1.0,1.0
9,D001,1.0,0.567
10,D001,0.0,0.0
11,D001,0.0,0.765
12,D001,1.0,0.897
13,D001,0.0,0.746
14,D001,1.0,0.715
15,D001,0.0,0.0
16,D001,0.0,0.0
17,D001,0.0,0.0
18,D001,0.0,0.0
19,D001,0.0,0.936
20,D001,1.0,0.836
21,D001,0.0,0.49
22,D001,1.0,0.726
23,D001,0.0,0.48
24,D001,1.0,1.0
25,D001,1.0,1.0
26,D001,1.0,0.212
27,D001,0.0,0.0
28,D001,0.0,0.0
29,D001,0.0,0.488
30,D001,1.0,1.0
31,D001,1.0,1.0
32,D001,1.0,0.499
33,D001,0.0,0.0
34,D001,0.0,0.094
35,D001,1.0,0.722
36,D001,0.0,0.49
37,D001,1.0,1.0
38,D001,1.0,0.884
39,D001,1.0,0.258
40,D001,0.0,0.258
41,D001,0.0,0.0
42,D001,0.0,0.0
43,D001,0.0,0.0
44,D001,0.0,0.57
45,D001,0.0,0.903
46,D001,1.0,0.395
47,D001,0.0,0.27
48,D001,1.0,1.0
49,D001,1.0,0.404
50,D001,0.0,0.0
51,D001,0.0,0.0
52,D001,0.0,0.533
53,D001,0.0,0.0
54,D001,0.0,0.0
55,D001,0.0,0.0
56,D001,0.0,0.218
57,D001,0.0,0.7
58,D001,1.0,1.0
59,D001,1.0,0.891
60,D001,0.0,0.038
61,D001,1.0,1.0
62,D001,1.0,0.929
63,D001,0.0,0.0
64,D001,0.0,0.0
65,D001,0.0,0.702
66,D001,1.0,1.0
67,D001,1.0,0.776
68,D001,0.0,0.197
69,D001,0.0,0.0
70,D001,0.0,0.0
71,D001,0.0,0.229
72,D001,1.0,1.0
73,D001,1.0,0.174
74,D001,0.0,0.747
75,D001,1.0,1.0
76,D001,1.0,1.0
77,D001,1.0,0.669
78,D001,1.0,1.0
79,D001,1.0,0.413
80,D001,0.0,0.0
81,D001,0.0,0.0
82,D001,0.0,0.438
83,D001,0.0,0.0
84,D001,0.0,0.0
85,D001,0.0,0.495
86,D001,0.0,0.747
87,D001,0.0,0.207
88,D001,1.0,0.507
89,D001,1.0,1.0
90,D001,1.0,1.0
91,D001,1.0,1.0
92,D001,1.0,0.161
93,D001,0.0,0.0
94,D001,0.0,0.671
95,D001,0.0,0.0
96,D001,0.0,0.0
97,D001,0.0,0.0
98,D001,0.0,0.0
99,D001,0.0,0.0
100,D001,0.0,0.638
101,D001,1.0,0.877
102,D001,0.0,0.0
103,D001,0.0,0.481
104,D001,1.0,0.979
105,D001,0.0,0.421
106,D001,0.0,0.086
107,D001,1.0,1.0
108,D001,1.0,1.0
109,D001,1.0,0.616
110,D001,0.0,0.0
111,D001,0.0,0.283
112,D001,1.0,0.045
113,D001,0.0,0.738
114,D001,1.0,1.0
115,D001,1.0,1.0
116,D001,1.0,0.297
117,D001,1.0,0.961
118,D001,0.0,0.0
119,D001,0.0,0.0
120,D001,0.0,0.0
121,D001,0.0,0.0
122,D001,0.0,0.0
123,D001,0.0,0.948
124,D001,1.0,0.039
125,D001,0.0,0.488
126,D001,1.0,0.524
127,D001,1.0,0.84
128,D001,0.0,0.352
129,D001,0.0,0.574
130,D001,0.0,0.046
131,D001,0.0,0.0
132,D001,0.0,0.0
133,D001,0.0,0.0
134,D001,0.0,0.908
135,D001,1.0,0.045
136,D001,0.0,0.235
137,D001,1.0,0.344
138,D001,0.0,0.0
139,D001,0.0,0.134
140,D001,0.0,0.0
141,D001,0.0,0.0
142,D001,0.0,0.98
143,D001,1.0,1.0
144,D001,1.0,1.0
145,D001,1.0,0.705
146,D001,1.0,1.0
147,D001,1.0,0.264
148,D001,0.0,0.218
149,D001,0.0,0.367
150,D001,1.0,1.0
151,D001,1.0,1.0
152,D001,1.0,0.714
153,D001,0.0,0.77
154,D001,1.0,1.0
155,D001,1.0,1.0
156,D001,1.0,0.836
157,D001,0.0,0.0
158,D001,0.0,0.0
159,D001,0.0,0.0
160,D001,0.0,0.0
161,D001,0.0,0.04
162,D001,0.0,0.08
163,D001,1.0,1.0
164,D001,1.0,0.714
165,D001,0.0,0.26
166,D001,0.0,0.0
167,D001,0.0,0.0
168,D001,0.0,0.0
169,D001,0.0,0.034
170,D001,0.0,0.796
171,D001,0.0,0.0
172,D001,0.0,0.0
173,D001,0.0,0.822
174,D001,1.0,0.411
175,D001,1.0,1.0
176,D001,1.0,1.0
177,D001,1.0,1.0
178,D001,1.0,1.0
179,D001,1.0,1.0
180,D001,1.0,1.0
181,D001,1.0,0.26
182,D001,0.0,0.773
183,D001,1.0,0.627
184,D001,0.0,0.0
185,D001,0.0,0.0
186,D001,0.0,0.0
187,D001,0.0,0.0
188,D001,0.0,0.0
189,D001,0.0,0.0
190,D001,0.0,0.87
191,D001,1.0,1.0
192,D001,1.0,0.11
193,D001,1.0,0.046
194,D001,0.0,0.0
195,D001,0.0,0.0
196,D001,0.0,0.947
197,D001,1.0,0.63
198,D001,0.0,0.557
199,D001,1.0,1.0
200,D001,1.0,1.0
201,D001,1.0,1.0
202,D001,1.0,0.889
203,D001,0.0,0.79
204,D001,1.0,0.058
205,D001,0.0,0.0
206,D001,0.0,0.0
207,D001,0.0,0.0
208,D001,0.0,0.0
209,D001,0.0,0.0
210,D001,0.0,0.0
211,D001,0.0,0.0
212,D001,0.0,0.616
213,D001,0.0,0.0
214,D001,0.0,0.0
215,D001,0.0,0.0
216,D001,0.0,0.668
217,D001,1.0,1.0
218,D001,1.0,1.0
219,D001,1.0,1.0
220,D001,1.0,1.0
221,D001,1.0,0.217
222,D001,0.0,0.0
223,D001,0.0,0.365
224,D001,1.0,0.232
225,D001,0.0,0.05
226,D001,0.0,0.66
227,D001,1.0,0.139
228,D001,0.0,0.0
229,D001,0.0,0.0
230,D001,0.0,0.0
231,D001,0.0,0.201
232,D001,1.0,0.716
233,D001,0.0,0.0
234,D001,0.0,0.0
235,D001,0.0,0.0
236,D001,0.0,0.458
237,D001,1.0,0.629
238,D001,0.0,0.0
239,D001,0.0,0.0
240,D001,0.0,0.0
241,D001,0.0,0.54
242,D001,1.0,0.591
243,D001,0.0,0.917
244,D001,1.0,1.0
245,D001,1.0,0.339
246,D001,0.0,0.616
247,D001,1.0,1.0
248,D001,1.0,0.432
249,D001,0.0,0.212
250,D001,0.0,0.0
251,D001,0.0,0.614
252,D001,1.0,0.439
253,D001,0.0,0.0
254,D001,0.0,0.0
255,D001,0.0,0.556
256,D001,1.0,0.769
257,D001,0.0,0.217
258,D001,1.0,0.093
259,D001,0.0,0.877
260,D001,1.0,0.588
261,D001,0.0,0.421
262,D001,0.0,0.0
263,D001,0.0,0.327
264,D001,0.0,0.0
265,D001,0.0,0.449
266,D001,0.0,0.0
267,D001,0.0,0.089
268,D001,1.0,0.818
269,D001,0.0,0.0
270,D001,0.0,0.0
271,D001,0.0,0.87
272,D001,1.0,0.298
273,D001,0.0,0.251
274,D001,1.0,0.902
275,D001,0.0,0.0
276,D001,0.0,0.0
277,D001,0.0,0.66
278,D001,1.0,1.0
279,D001,1.0,1.0
280,D001,1.0,1.0
281,D001,1.0,0.885
282,D001,0.0,0.65
283,D001,1.0,1.0
284,D001,1.0,1.0
285,D001,1.0,0.169
286,D001,1.0,0.16
287,D001,0.0,0.0
288,D001,0.0,0.122
289,D001,1.0,0.303
290,D001,0.0,0.0
291,D001,0.0,0.0
292,D001,0.0,0.0
293,D001,0.0,0.0
294,D001,0.0,0.0
295,D001,0.0,0.773
296,D001,1.0,1.0
297,D001,1.0,0.995
298,D001,0.0,0.0
299,D001,0.0,0.285
300,D001,1.0,1.0
301,D001,1.0,0.359
302,D001,1.0,1.0
303,D001,1.0,1.0
304,D001,1.0,0.589
305,D001,0.0,0.451
306,D001,0.0,0.0
307,D001,0.0,0.0
308,D001,0.0,0.086
309,D001,1.0,1.0
310,D001,1.0,0.588
311,D001,0.0,0.0
312,D001,0.0,0.195
313,D001,1.0,0.229
314,D001,0.0,0.207
315,D001,1.0,0.781
316,D001,0.0,0.387
317,D001,0.0,0.0
318,D001,0.0,0.0
319,D001,0.0,0.377
320,D001,0.0,0.0
321,D001,0.0,0.0
322,D001,0.0,0.0
323,D001,0.0,0.0
324,D001,0.0,0.576
325,D001,1.0,0.383
326,D001,0.0,0.0
327,D001,0.0,0.0
328,D001,0.0,0.0
329,D001,0.0,0.0
330,D001,0.0,0.0
331,D001,0.0,0.0
332,D001,0.0,0.0
333,D001,0.0,0.178
334,D001,1.0,1.0
335,D001,1.0,0.255
336,D001,0.0,0.15
337,D001,1.0,0.717
338,D001,0.0,0.292
339,D001,1.0,0.716
340,D001,0.0,0.355
341,D001,1.0,1.0
342,D001,1.0,0.676
343,D001,0.0,0.194
344,D001,1.0,0.838
345,D001,0.0,0.022
346,D001,1.0,0.797
347,D001,0.0,0.0
348,D001,0.0,0.0
349,D001,0.0,0.524
350,D001,1.0,1.0
351,D001,1.0,0.37
352,D001,0.0,0.0
353,D001,0.0,0.396
354,D001,1.0,0.343
355,D001,1.0,0.326
356,D001,0.0,0.0
357,D001,0.0,0.0
358,D001,0.0,0.459
