,dyad,subject,ind_ec
0,D001,S028,0.0
1,D001,S028,1.0
2,D001,S028,1.0
3,D001,S028,0.0
4,D001,S028,1.0
5,D001,S028,0.0
6,D001,S028,1.0
7,D001,S028,0.0
8,D001,S028,1.0
9,D001,S028,1.0
10,D001,S028,1.0
11,D001,S028,1.0
12,D001,S028,1.0
13,D001,S028,1.0
14,D001,S028,1.0
15,D001,S028,1.0
16,D001,S028,1.0
17,D001,S028,1.0
18,D001,S028,1.0
19,D001,S028,1.0
20,D001,S028,1.0
21,D001,S028,0.0
22,D001,S028,1.0
23,D001,S028,1.0
24,D001,S028,1.0
25,D001,S028,1.0
26,D001,S028,1.0
27,D001,S028,1.0
28,D001,S028,1.0
29,D001,S028,1.0
30,D001,S028,1.0
31,D001,S028,1.0
32,D001,S028,1.0
33,D001,S028,1.0
34,D001,S028,0.0
35,D001,S028,1.0
36,D001,S028,0.0
37,D001,S028,1.0
38,D001,S028,1.0
39,D001,S028,1.0
40,D001,S028,1.0
41,D001,S028,1.0
42,D001,S028,1.0
43,D001,S028,1.0
44,D001,S028,1.0
45,D001,S028,0.0
46,D001,S028,1.0
47,D001,S028,1.0
48,D001,S028,1.0
49,D001,S028,1.0
50,D001,S028,1.0
51,D001,S028,0.0
52,D001,S028,1.0
53,D001,S028,1.0
54,D001,S028,1.0
55,D001,S028,1.0
56,D001,S028,1.0
57,D001,S028,1.0
58,D001,S028,1.0
59,D001,S028,1.0
60,D001,S028,1.0
61,D001,S028,1.0
62,D001,S028,1.0
63,D001,S028,1.0
64,D001,S028,1.0
65,D001,S028,1.0
66,D001,S028,1.0
67,D001,S028,1.0
68,D001,S028,1.0
69,D001,S028,1.0
70,D001,S028,1.0
71,D001,S028,1.0
72,D001,S028,1.0
73,D001,S028,1.0
74,D001,S028,1.0
75,D001,S028,1.0
76,D001,S028,1.0
77,D001,S028,1.0
78,D001,S028,1.0
79,D001,S028,1.0
80,D001,S028,1.0
81,D001,S028,1.0
82,D001,S028,1.0
83,D001,S028,1.0
84,D001,S028,1.0
85,D001,S028,1.0
86,D001,S028,1.0
87,D001,S028,1.0
88,D001,S028,1.0
89,D001,S028,1.0
90,D001,S028,1.0
91,D001,S028,1.0
92,D001,S028,1.0
93,D001,S028,1.0
94,D001,S028,1.0
95,D001,S028,1.0
96,D001,S028,0.0
97,D001,S028,0.0
98,D001,S028,1.0
99,D001,S028,1.0
100,D001,S028,1.0
101,D001,S028,1.0
102,D001,S028,1.0
103,D001,S028,1.0
104,D001,S028,1.0
105,D001,S028,1.0
106,D001,S028,1.0
107,D001,S028,1.0
108,D001,S028,1.0
109,D001,S028,1.0
110,D001,S028,1.0
111,D001,S028,1.0
112,D001,S028,1.0
113,D001,S028,1.0
114,D001,S028,1.0
115,D001,S028,1.0
116,D001,S028,1.0
117,D001,S028,0.0
118,D001,S028,1.0
119,D001,S028,1.0
120,D001,S028,1.0
121,D001,S028,1.0
122,D001,S028,0.0
123,D001,S028,0.0
124,D001,S028,1.0
125,D001,S028,1.0
126,D001,S028,1.0
127,D001,S028,1.0
128,D001,S028,1.0
129,D001,S028,1.0
130,D001,S028,1.0
131,D001,S028,1.0
132,D001,S028,0.0
133,D001,S028,1.0
134,D001,S028,1.0
135,D001,S028,1.0
136,D001,S028,1.0
137,D001,S028,1.0
138,D001,S028,0.0
139,D001,S028,0.0
140,D001,S028,0.0
141,D001,S028,0.0
142,D001,S028,0.0
143,D001,S028,1.0
144,D001,S028,1.0
145,D001,S028,1.0
146,D001,S028,1.0
147,D001,S028,1.0
148,D001,S028,0.0
149,D001,S028,0.0
150,D001,S028,1.0
151,D001,S028,1.0
152,D001,S028,1.0
153,D001,S028,1.0
154,D001,S028,1.0
155,D001,S028,1.0
156,D001,S028,1.0
157,D001,S028,1.0
158,D001,S028,1.0
159,D001,S028,1.0
160,D001,S028,1.0
161,D001,S028,1.0
162,D001,S028,1.0
163,D001,S028,1.0
164,D001,S028,1.0
165,D001,S028,1.0
166,D001,S028,1.0
167,D001,S028,1.0
168,D001,S028,0.0
169,D001,S028,1.0
170,D001,S028,1.0
171,D001,S028,0.0
172,D001,S028,0.0
173,D001,S028,0.0
174,D001,S028,1.0
175,D001,S028,1.0
176,D001,S028,1.0
177,D001,S028,1.0
178,D001,S028,1.0
179,D001,S028,1.0
180,D001,S028,1.0
181,D001,S028,1.0
182,D001,S028,1.0
183,D001,S028,1.0
184,D001,S028,1.0
185,D001,S028,1.0
186,D001,S028,1.0
187,D001,S028,1.0
188,D001,S028,1.0
189,D001,S028,1.0
190,D001,S028,1.0
191,D001,S028,1.0
192,D001,S028,1.0
193,D001,S028,1.0
194,D001,S028,0.0
195,D001,S028,0.0
196,D001,S028,0.0
197,D001,S028,1.0
198,D001,S028,0.0
199,D001,S028,1.0
200,D001,S028,1.0
201,D001,S028,1.0
202,D001,S028,1.0
203,D001,S028,1.0
204,D001,S028,1.0
205,D001,S028,1.0
206,D001,S028,0.0
207,D001,S028,1.0
208,D001,S028,0.0
209,D001,S028,0.0
210,D001,S028,1.0
211,D001,S028,1.0
212,D001,S028,0.0
213,D001,S028,1.0
214,D001,S028,1.0
215,D001,S028,1.0
216,D001,S028,1.0
217,D001,S028,1.0
218,D001,S028,1.0
219,D001,S028,1.0
220,D001,S028,1.0
221,D001,S028,1.0
222,D001,S028,1.0
223,D001,S028,1.0
224,D001,S028,1.0
225,D001,S028,1.0
226,D001,S028,1.0
227,D001,S028,1.0
228,D001,S028,1.0
229,D001,S028,1.0
230,D001,S028,1.0
231,D001,S028,1.0
232,D001,S028,1.0
233,D001,S028,1.0
234,D001,S028,1.0
235,D001,S028,1.0
236,D001,S028,0.0
237,D001,S028,1.0
238,D001,S028,0.0
239,D001,S028,1.0
240,D001,S028,1.0
241,D001,S028,0.0
242,D001,S028,1.0
243,D001,S028,1.0
244,D001,S028,1.0
245,D001,S028,1.0
246,D001,S028,1.0
247,D001,S028,1.0
248,D001,S028,1.0
249,D001,S028,0.0
250,D001,S028,0.0
251,D001,S028,0.0
252,D001,S028,1.0
253,D001,S028,1.0
254,D001,S028,1.0
255,D001,S028,1.0
256,D001,S028,1.0
257,D001,S028,1.0
258,D001,S028,1.0
259,D001,S028,0.0
260,D001,S028,1.0
261,D001,S028,0.0
262,D001,S028,1.0
263,D001,S028,0.0
264,D001,S028,1.0
265,D001,S028,0.0
266,D001,S028,1.0
267,D001,S028,0.0
268,D001,S028,1.0
269,D001,S028,1.0
270,D001,S028,0.0
271,D001,S028,0.0
272,D001,S028,1.0
273,D001,S028,0.0
274,D001,S028,1.0
275,D001,S028,1.0
276,D001,S028,0.0
277,D001,S028,0.0
278,D001,S028,1.0
279,D001,S028,1.0
280,D001,S028,1.0
281,D001,S028,1.0
282,D001,S028,1.0
283,D001,S028,1.0
284,D001,S028,1.0
285,D001,S028,1.0
286,D001,S028,0.0
287,D001,S028,1.0
288,D001,S028,1.0
289,D001,S028,1.0
290,D001,S028,1.0
291,D001,S028,1.0
292,D001,S028,0.0
293,D001,S028,0.0
294,D001,S028,0.0
295,D001,S028,0.0
296,D001,S028,1.0
297,D001,S028,1.0
298,D001,S028,1.0
299,D001,S028,0.0
300,D001,S028,1.0
301,D001,S028,1.0
302,D001,S028,0.0
303,D001,S028,1.0
304,D001,S028,1.0
305,D001,S028,0.0
306,D001,S028,1.0
307,D001,S028,1.0
308,D001,S028,1.0
309,D001,S028,1.0
310,D001,S028,1.0
311,D001,S028,0.0
312,D001,S028,0.0
313,D001,S028,0.0
314,D001,S028,1.0
315,D001,S028,1.0
316,D001,S028,1.0
317,D001,S028,1.0
318,D001,S028,0.0
319,D001,S028,1.0
320,D001,S028,1.0
321,D001,S028,0.0
322,D001,S028,1.0
323,D001,S028,1.0
324,D001,S028,1.0
325,D001,S028,0.0
326,D001,S028,1.0
327,D001,S028,1.0
328,D001,S028,0.0
329,D001,S028,1.0
330,D001,S028,1.0
331,D001,S028,0.0
332,D001,S028,0.0
333,D001,S028,0.0
334,D001,S028,1.0
335,D001,S028,1.0
336,D001,S028,0.0
337,D001,S028,0.0
338,D001,S028,1.0
339,D001,S028,1.0
340,D001,S028,0.0
341,D001,S028,1.0
342,D001,S028,1.0
343,D001,S028,0.0
344,D001,S028,1.0
345,D001,S028,1.0
346,D001,S028,1.0
347,D001,S028,1.0
348,D001,S028,1.0
349,D001,S028,1.0
350,D001,S028,1.0
351,D001,S028,1.0
352,D001,S028,1.0
353,D001,S028,0.0
354,D001,S028,1.0
355,D001,S028,1.0
356,D001,S028,0.0
357,D001,S028,1.0
358,D001,S028,1.0
359,D001,S028,1.0
360,D001,S028,1.0
361,D001,S028,1.0
362,D001,S028,1.0
363,D001,S028,1.0
364,D001,S028,0.0
365,D001,S028,1.0
366,D001,S028,1.0
367,D001,S028,1.0
368,D001,S028,1.0
369,D001,S028,1.0
370,D001,S028,1.0
371,D001,S028,1.0
372,D001,S028,0.0
373,D001,S028,0.0
374,D001,S028,1.0
375,D001,S028,1.0
376,D001,S028,1.0
377,D001,S028,1.0
378,D001,S028,1.0
379,D001,S028,1.0
380,D001,S028,1.0
381,D001,S028,1.0
382,D001,S028,1.0
383,D001,S028,1.0
384,D001,S028,0.0
385,D001,S028,0.0
386,D001,S028,0.0
387,D001,S028,1.0
388,D001,S028,0.0
389,D001,S028,1.0
390,D001,S028,1.0
391,D001,S028,0.0
392,D001,S028,0.0
393,D001,S028,1.0
394,D001,S028,1.0
395,D001,S028,1.0
396,D001,S028,1.0
397,D001,S028,1.0
398,D001,S028,1.0
399,D001,S028,1.0
400,D001,S028,1.0
401,D001,S028,1.0
402,D001,S028,1.0
403,D001,S028,1.0
404,D001,S028,1.0
405,D001,S028,1.0
406,D001,S028,1.0
407,D001,S028,1.0
408,D001,S028,1.0
409,D001,S028,1.0
410,D001,S028,1.0
411,D001,S028,1.0
412,D001,S028,1.0
413,D001,S028,1.0
414,D001,S028,1.0
415,D001,S028,1.0
416,D001,S028,1.0
417,D001,S028,0.0
418,D001,S028,1.0
419,D001,S028,1.0
420,D001,S028,1.0
421,D001,S028,1.0
422,D001,S028,1.0
423,D001,S028,1.0
424,D001,S028,1.0
425,D001,S028,0.0
426,D001,S028,1.0
427,D001,S028,1.0
428,D001,S028,1.0
429,D001,S028,1.0
430,D001,S028,1.0
431,D001,S028,0.0
432,D001,S028,1.0
433,D001,S028,0.0
434,D001,S028,1.0
435,D001,S028,1.0
436,D001,S028,1.0
437,D001,S028,0.0
438,D001,S028,1.0
439,D001,S028,0.0
440,D001,S028,1.0
441,D001,S028,1.0
442,D001,S028,1.0
443,D001,S028,1.0
444,D001,S028,1.0
445,D001,S028,1.0
446,D001,S028,1.0
447,D001,S028,1.0
448,D001,S028,1.0
449,D001,S028,1.0
450,D001,S028,1.0
451,D001,S028,1.0
452,D001,S028,1.0
453,D001,S028,1.0
454,D001,S028,0.0
455,D001,S028,0.0
456,D001,S028,1.0
457,D001,S028,1.0
458,D001,S028,1.0
459,D001,S028,0.0
460,D001,S028,0.0
461,D001,S028,0.0
462,D001,S028,1.0
463,D001,S028,1.0
464,D001,S028,1.0
465,D001,S028,1.0
466,D001,S028,1.0
467,D001,S028,1.0
468,D001,S028,0.0
469,D001,S028,1.0
470,D001,S028,1.0
471,D001,S028,1.0
472,D001,S028,1.0
473,D001,S028,0.0
474,D001,S028,1.0
475,D001,S028,1.0
476,D001,S028,0.0
477,D001,S028,1.0
478,D001,S028,1.0
479,D001,S028,0.0
480,D001,S028,1.0
481,D001,S028,1.0
482,D001,S028,1.0
483,D001,S028,1.0
484,D001,S028,1.0
485,D001,S028,1.0
486,D001,S028,0.0
487,D001,S028,0.0
488,D001,S028,0.0
489,D001,S028,1.0
490,D001,S028,1.0
491,D001,S028,1.0
492,D001,S028,1.0
493,D001,S028,1.0
494,D001,S028,1.0
495,D001,S028,0.0
496,D001,S028,1.0
497,D001,S028,1.0
498,D001,S028,1.0
499,D001,S028,1.0
500,D001,S028,0.0
501,D001,S028,0.0
502,D001,S028,0.0
503,D001,S028,0.0
504,D001,S028,0.0
505,D001,S028,1.0
506,D001,S028,1.0
507,D001,S028,1.0
508,D001,S028,1.0
509,D001,S028,1.0
510,D001,S028,1.0
511,D001,S028,1.0
512,D001,S028,0.0
513,D001,S028,0.0
514,D001,S028,1.0
515,D001,S028,1.0
516,D001,S028,0.0
517,D001,S028,0.0
518,D001,S028,0.0
519,D001,S028,1.0
520,D001,S028,0.0
521,D001,S028,0.0
522,D001,S028,1.0
523,D001,S028,1.0
524,D001,S028,1.0
525,D001,S028,1.0
526,D001,S028,1.0
527,D001,S028,1.0
528,D001,S028,1.0
529,D001,S028,1.0
530,D001,S028,1.0
531,D001,S028,0.0
532,D001,S028,1.0
533,D001,S028,1.0
534,D001,S028,1.0
535,D001,S028,1.0
536,D001,S028,1.0
537,D001,S028,1.0
538,D001,S028,1.0
539,D001,S028,1.0
540,D001,S028,1.0
541,D001,S028,0.0
542,D001,S028,0.0
543,D001,S028,1.0
544,D001,S028,1.0
545,D001,S028,1.0
546,D001,S028,1.0
547,D001,S028,1.0
548,D001,S028,1.0
549,D001,S028,0.0
550,D001,S028,1.0
551,D001,S028,0.0
552,D001,S028,0.0
553,D001,S028,0.0
554,D001,S028,1.0
555,D001,S028,1.0
556,D001,S028,1.0
557,D001,S028,1.0
558,D001,S028,1.0
559,D001,S028,1.0
560,D001,S028,0.0
561,D001,S028,1.0
562,D001,S028,1.0
563,D001,S028,1.0
564,D001,S028,1.0
565,D001,S028,1.0
566,D001,S028,0.0
567,D001,S028,1.0
568,D001,S028,1.0
569,D001,S028,1.0
570,D001,S028,0.0
571,D001,S028,1.0
572,D001,S028,0.0
573,D001,S028,0.0
574,D001,S028,1.0
575,D001,S028,1.0
576,D001,S028,1.0
577,D001,S028,1.0
578,D001,S028,1.0
579,D001,S028,1.0
580,D001,S028,1.0
581,D001,S028,1.0
582,D001,S028,1.0
583,D001,S028,1.0
584,D001,S028,1.0
585,D001,S028,0.0
586,D001,S028,1.0
587,D001,S028,0.0
588,D001,S028,1.0
589,D001,S028,1.0
590,D001,S028,0.0
591,D001,S028,0.0
592,D001,S028,1.0
593,D001,S028,1.0
594,D001,S028,1.0
595,D001,S028,1.0
596,D001,S028,1.0
597,D001,S028,1.0
598,D001,S028,0.0
599,D001,S028,1.0
600,D001,S029,0.0
601,D001,S029,1.0
602,D001,S029,0.0
603,D001,S029,1.0
604,D001,S029,1.0
605,D001,S029,0.0
606,D001,S029,0.0
607,D001,S029,0.0
608,D001,S029,1.0
609,D001,S029,1.0
610,D001,S029,0.0
611,D001,S029,0.0
612,D001,S029,1.0
613,D001,S029,0.0
614,D001,S029,1.0
615,D001,S029,0.0
616,D001,S029,0.0
617,D001,S029,0.0
618,D001,S029,0.0
619,D001,S029,0.0
620,D001,S029,1.0
621,D001,S029,1.0
622,D001,S029,1.0
623,D001,S029,1.0
624,D001,S029,1.0
625,D001,S029,1.0
626,D001,S029,1.0
627,D001,S029,0.0
628,D001,S029,0.0
629,D001,S029,0.0
630,D001,S029,1.0
631,D001,S029,1.0
632,D001,S029,1.0
633,D001,S029,0.0
634,D001,S029,1.0
635,D001,S029,1.0
636,D001,S029,1.0
637,D001,S029,1.0
638,D001,S029,1.0
639,D001,S029,1.0
640,D001,S029,0.0
641,D001,S029,0.0
642,D001,S029,0.0
643,D001,S029,0.0
644,D001,S029,0.0
645,D001,S029,1.0
646,D001,S029,1.0
647,D001,S029,0.0
648,D001,S029,1.0
649,D001,S029,1.0
650,D001,S029,0.0
651,D001,S029,0.0
652,D001,S029,0.0
653,D001,S029,0.0
654,D001,S029,0.0
655,D001,S029,0.0
656,D001,S029,0.0
657,D001,S029,0.0
658,D001,S029,1.0
659,D001,S029,1.0
660,D001,S029,0.0
661,D001,S029,1.0
662,D001,S029,1.0
663,D001,S029,0.0
664,D001,S029,0.0
665,D001,S029,0.0
666,D001,S029,1.0
667,D001,S029,1.0
668,D001,S029,0.0
669,D001,S029,0.0
670,D001,S029,0.0
671,D001,S029,0.0
672,D001,S029,1.0
673,D001,S029,1.0
674,D001,S029,0.0
675,D001,S029,1.0
676,D001,S029,1.0
677,D001,S029,1.0
678,D001,S029,1.0
679,D001,S029,1.0
680,D001,S029,0.0
681,D001,S029,0.0
682,D001,S029,0.0
683,D001,S029,0.0
684,D001,S029,0.0
685,D001,S029,0.0
686,D001,S029,0.0
687,D001,S029,1.0
688,D001,S029,1.0
689,D001,S029,1.0
690,D001,S029,1.0
691,D001,S029,1.0
692,D001,S029,1.0
693,D001,S029,0.0
694,D001,S029,0.0
